VCD info: dumpfile sm_core_tb.vcd opened for output.
============================================
  SM Core Testbench v1.2 â€” Starting
============================================

--- K1: Basic ALU (MOVI + ADD) ---
[PASS] T1: K1 R1=100  SP0.R1 = 0x0064
[PASS] T259: K30 D=2.0  SP2.R12 = 0x4000
[PASS] T260: K30 D=2.0  SP3.R12 = 0x4000
[PASS] T261: K30 D=2.0  SP0.R13 = 0x4000
[PASS] T262: K30 D=2.0  SP1.R13 = 0x4000
[PASS] T263: K30 D=2.0  SP2.R13 = 0x4000
[PASS] T264: K30 D=2.0  SP3.R13 = 0x4000
[PASS] T265: K30 SP0 D[0][0]=2.0  SP0.DMEM[64] = 0x4000
[PASS] T266: K30 SP1 D[1][0]=2.0  SP1.DMEM[72] = 0x4000
[PASS] T267: K30 SP2 D[2][0]=2.0  SP2.DMEM[80] = 0x4000
[PASS] T268: K30 SP3 D[3][0]=2.0  SP3.DMEM[88] = 0x4000

--- K31: SIMT 2+2 divergence ---
  P0=(TID<2): SP0,SP1 taken, SP2,SP3 fall
  Program listing:
    [ 0] 1c000000  MOV.TID R0
    [ 1] 20100002  MOVI    R1, 2 (0x0002)
    [ 2] 20500000  MOVI    R5, 0 (0x0000)
    [ 3] aa001000  SETP    P0, R0, R1 (cmp=2)
    [ 4] 00000000  NOP
    [ 5] 00000000  NOP
    [ 6] 00000000  NOP
    [ 7] c000a00c  PBRA    P0, target=10, reconv=12
    [ 8] 2050bbbb  MOVI    R5, 48059 (0xbbbb)
    [ 9] b800000c  BRA     12
    [10] 2050aaaa  MOVI    R5, 43690 (0xaaaa)
    [11] 00000000  NOP
    [12] 2060cccc  MOVI    R6, 52428 (0xcccc)
    [13] c8000000  RET
  [C000] PC=0 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C001] PC=0 dec=1c000000 MOV      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C002] PC=1 dec=1c000000 MOV      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C003] PC=2 dec=20100002 MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C004] PC=3 dec=20500000 MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0001 pend1=0001 pend2=0001 pend3=0001 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=1 | stk_sp=0 tos_rpc=x tos_ph=x
  [C005] PC=4 dec=aa001000 SETP     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0003 pend1=0003 pend2=0003 pend3=0003 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=0 tos_rpc=x tos_ph=x
  [C006] PC=5 dec=00000000 NOP      fv=1 | fstl=1 sb=1 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0023 pend1=0023 pend2=0023 pend3=0023 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C007] PC=5 dec=00000000 NOP      fv=1 | fstl=1 sb=1 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0023 pend1=0023 pend2=0023 pend3=0023 | wb_we_any=1 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C008] PC=5 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0022 pend1=0022 pend2=0022 pend3=0022 | wb_we_any=1 wb_rD=1 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C009] PC=6 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=1 wb_rD=5 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C010] PC=7 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=5 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C011] PC=8 dec=c000a00c PBRA     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=5 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C012] PC=9 dec=2050bbbb MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=1 | mask=1111 stk_e=1 conv=00 pbra=1 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=1 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C013] PC=10 dec=b800000c BRA      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=0011 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=1 rD=0 | stk_sp=1 tos_rpc=12 tos_ph=0
  [C014] PC=11 dec=2050aaaa MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=0011 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=1 tos_rpc=12 tos_ph=0
  [C015] PC=12 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=0011 stk_e=0 conv=10 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=1 tos_rpc=12 tos_ph=0
  [C016] PC=8 dec=2060cccc MOVI     fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1100 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=1 tos_rpc=12 tos_ph=1
